set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12309] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12310] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12311] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12312] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12313] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12314] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12315] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12316] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12317] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12318] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12319] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12320] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12321] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12322] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12323] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12324] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12325] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12326] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12327] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12328] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12329] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12330] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12331] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12332] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12333] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12334] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12335] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12336] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12337] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12338] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12339] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12340] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12341] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12342] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12343] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12344] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12345] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12346] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12347] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12348] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12349] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12350] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12351] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12352] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12353] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12354] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12355] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12356] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12357] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12358] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12359] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12360] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12361] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12362] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12363] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12364] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12365] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12366] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12367] PHYSICAL METADATA BLOCK
set 30 20:13:03 daniela-VirtualBox kernel: CALYPSO_LOG: [12368] PHYSICAL METADATA BLOCK
